timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:45:57.776Z,young ,g,g,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:57.924Z,young , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:58.418Z,space ,s,s,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:58.756Z,space ,p,p,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:58.907Z,space ,a,a,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:59.229Z,space ,c,c,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:59.332Z,space ,e,e,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:59.508Z,space , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:59.740Z,wider ,w,w,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:59.924Z,wider ,i,i,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:00.250Z,wider ,d,d,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:00.410Z,wider ,e,e,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:00.571Z,wider ,r,r,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:00.783Z,wider , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:01.025Z,wager,w,w,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:01.178Z,wager,a,a,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:01.395Z,wager,g,g,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:01.546Z,wager,e,e,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:01.883Z,wager,r,r,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:46:13.411Z,maple ,m,m,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:13.538Z,maple ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:13.778Z,maple ,p,p,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:14.033Z,maple ,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:14.218Z,maple ,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:14.378Z,maple , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:14.673Z,locus ,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:14.882Z,locus ,o,o,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:15.012Z,locus ,c,c,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:15.276Z,locus ,u,u,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:15.378Z,locus ,s,s,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:15.545Z,locus , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:16.082Z,dryer ,d,d,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:16.771Z,dryer ,p,r,semicolemakdh,3,words,10,wordle,null
