timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:45:54.419,swath ,t,t,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.297000
2022-12-12 07:45:54.522,swath ,h,h,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.103000
2022-12-12 07:45:54.658,swath , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.136000
2022-12-12 07:45:55.316,junto ,j,j,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.658000
2022-12-12 07:45:55.523,junto ,u,u,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.207000
2022-12-12 07:45:55.912,junto ,n,n,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.389000
2022-12-12 07:45:56.074,junto ,t,t,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.162000
2022-12-12 07:45:56.187,junto ,o,o,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.113000
2022-12-12 07:45:56.339,junto , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.152000
2022-12-12 07:45:56.713,young ,y,y,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.374000
2022-12-12 07:45:56.991,young ,o,o,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.278000
2022-12-12 07:45:57.226,young ,u,u,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.235000
2022-12-12 07:45:57.555,young ,n,n,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.329000
2022-12-12 07:45:57.776,young ,g,g,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.221000
2022-12-12 07:45:57.924,young , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.148000
2022-12-12 07:45:58.418,space ,s,s,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.494000
2022-12-12 07:45:58.756,space ,p,p,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.338000
2022-12-12 07:45:58.907,space ,a,a,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.151000
2022-12-12 07:45:59.229,space ,c,c,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.322000
2022-12-12 07:45:59.332,space ,e,e,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.103000
2022-12-12 07:45:59.508,space , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.176000
2022-12-12 07:45:59.740,wider ,w,w,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.232000
2022-12-12 07:45:59.924,wider ,i,i,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.184000
2022-12-12 07:46:00.250,wider ,d,d,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.326000
2022-12-12 07:46:00.410,wider ,e,e,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.160000
2022-12-12 07:46:00.571,wider ,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.161000
2022-12-12 07:46:00.783,wider , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.212000
2022-12-12 07:46:01.025,wager,w,w,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.242000
2022-12-12 07:46:01.178,wager,a,a,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.153000
2022-12-12 07:46:01.395,wager,g,g,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.217000
2022-12-12 07:46:01.546,wager,e,e,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.151000
2022-12-12 07:46:01.883,wager,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.337000
2022-12-12 07:46:13.411,maple ,m,m,semicolemakdh,3,words,10,wordle,null,0 days 00:00:11.528000
