,timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cps
102,2022-12-12 07:45:58.418,space ,s,s,semicolemakdh,2,words,10,wordle,null,0.494
103,2022-12-12 07:45:58.756,space ,p,p,semicolemakdh,2,words,10,wordle,null,0.338
104,2022-12-12 07:45:58.907,space ,a,a,semicolemakdh,2,words,10,wordle,null,0.151
105,2022-12-12 07:45:59.229,space ,c,c,semicolemakdh,2,words,10,wordle,null,0.322
106,2022-12-12 07:45:59.332,space ,e,e,semicolemakdh,2,words,10,wordle,null,0.103
107,2022-12-12 07:45:59.508,space , , ,semicolemakdh,2,words,10,wordle,null,0.176
108,2022-12-12 07:45:59.740,wider ,w,w,semicolemakdh,2,words,10,wordle,null,0.232
109,2022-12-12 07:45:59.924,wider ,i,i,semicolemakdh,2,words,10,wordle,null,0.184
110,2022-12-12 07:46:00.250,wider ,d,d,semicolemakdh,2,words,10,wordle,null,0.326
111,2022-12-12 07:46:00.410,wider ,e,e,semicolemakdh,2,words,10,wordle,null,0.16
112,2022-12-12 07:46:00.571,wider ,r,r,semicolemakdh,2,words,10,wordle,null,0.161
113,2022-12-12 07:46:00.783,wider , , ,semicolemakdh,2,words,10,wordle,null,0.212
114,2022-12-12 07:46:01.025,wager,w,w,semicolemakdh,2,words,10,wordle,null,0.242
115,2022-12-12 07:46:01.178,wager,a,a,semicolemakdh,2,words,10,wordle,null,0.153
116,2022-12-12 07:46:01.395,wager,g,g,semicolemakdh,2,words,10,wordle,null,0.217
117,2022-12-12 07:46:01.546,wager,e,e,semicolemakdh,2,words,10,wordle,null,0.151
118,2022-12-12 07:46:01.883,wager,r,r,semicolemakdh,2,words,10,wordle,null,0.337
119,2022-12-12 07:46:13.411,maple ,m,m,semicolemakdh,3,words,10,wordle,null,11.528
120,2022-12-12 07:46:13.538,maple ,a,a,semicolemakdh,3,words,10,wordle,null,0.127
121,2022-12-12 07:46:13.778,maple ,p,p,semicolemakdh,3,words,10,wordle,null,0.24
122,2022-12-12 07:46:14.033,maple ,l,l,semicolemakdh,3,words,10,wordle,null,0.255
123,2022-12-12 07:46:14.218,maple ,e,e,semicolemakdh,3,words,10,wordle,null,0.185
124,2022-12-12 07:46:14.378,maple , , ,semicolemakdh,3,words,10,wordle,null,0.16
125,2022-12-12 07:46:14.673,locus ,l,l,semicolemakdh,3,words,10,wordle,null,0.295
126,2022-12-12 07:46:14.882,locus ,o,o,semicolemakdh,3,words,10,wordle,null,0.209
127,2022-12-12 07:46:15.012,locus ,c,c,semicolemakdh,3,words,10,wordle,null,0.13
128,2022-12-12 07:46:15.276,locus ,u,u,semicolemakdh,3,words,10,wordle,null,0.264
129,2022-12-12 07:46:15.378,locus ,s,s,semicolemakdh,3,words,10,wordle,null,0.102
130,2022-12-12 07:46:15.545,locus , , ,semicolemakdh,3,words,10,wordle,null,0.167
131,2022-12-12 07:46:16.082,dryer ,d,d,semicolemakdh,3,words,10,wordle,null,0.537
132,2022-12-12 07:46:16.771,dryer ,p,r,semicolemakdh,3,words,10,wordle,null,0.689
133,2022-12-12 07:46:17.076,dryer ,y,r,semicolemakdh,3,words,10,wordle,null,0.305
134,2022-12-12 07:46:17.729,dryer ,r,r,semicolemakdh,3,words,10,wordle,null,0.653
135,2022-12-12 07:46:17.891,dryer ,y,y,semicolemakdh,3,words,10,wordle,null,0.162
136,2022-12-12 07:46:18.445,dryer ,e,e,semicolemakdh,3,words,10,wordle,null,0.554
137,2022-12-12 07:46:18.649,dryer ,r,r,semicolemakdh,3,words,10,wordle,null,0.204
138,2022-12-12 07:46:18.782,dryer , , ,semicolemakdh,3,words,10,wordle,null,0.133
139,2022-12-12 07:46:18.979,shove ,s,s,semicolemakdh,3,words,10,wordle,null,0.197
140,2022-12-12 07:46:19.187,shove ,h,h,semicolemakdh,3,words,10,wordle,null,0.208
141,2022-12-12 07:46:19.365,shove ,o,o,semicolemakdh,3,words,10,wordle,null,0.178
142,2022-12-12 07:46:19.699,shove ,e,v,semicolemakdh,3,words,10,wordle,null,0.334
143,2022-12-12 07:46:20.330,shove ,d,v,semicolemakdh,3,words,10,wordle,null,0.631
144,2022-12-12 07:46:20.460,shove ,e,v,semicolemakdh,3,words,10,wordle,null,0.13
145,2022-12-12 07:46:20.651,shove , ,v,semicolemakdh,3,words,10,wordle,null,0.191
146,2022-12-12 07:46:20.781,agile ,a,a,semicolemakdh,3,words,10,wordle,null,0.13
147,2022-12-12 07:46:21.213,agile ,g,g,semicolemakdh,3,words,10,wordle,null,0.432
148,2022-12-12 07:46:21.666,agile ,i,i,semicolemakdh,3,words,10,wordle,null,0.453
149,2022-12-12 07:46:22.313,agile ,l,l,semicolemakdh,3,words,10,wordle,null,0.647
150,2022-12-12 07:46:22.427,agile ,e,e,semicolemakdh,3,words,10,wordle,null,0.114
151,2022-12-12 07:46:22.646,agile , , ,semicolemakdh,3,words,10,wordle,null,0.219
152,2022-12-12 07:46:24.850,beard ,b,b,semicolemakdh,3,words,10,wordle,null,2.204
153,2022-12-12 07:46:25.011,beard ,e,e,semicolemakdh,3,words,10,wordle,null,0.161
154,2022-12-12 07:46:25.531,beard ,a,a,semicolemakdh,3,words,10,wordle,null,0.52
155,2022-12-12 07:46:26.098,beard ,r,r,semicolemakdh,3,words,10,wordle,null,0.567
156,2022-12-12 07:46:26.234,beard ,d,d,semicolemakdh,3,words,10,wordle,null,0.136
157,2022-12-12 07:46:26.458,beard , , ,semicolemakdh,3,words,10,wordle,null,0.224
158,2022-12-12 07:46:26.907,iliac ,i,i,semicolemakdh,3,words,10,wordle,null,0.449
159,2022-12-12 07:46:27.057,iliac ,l,l,semicolemakdh,3,words,10,wordle,null,0.15
160,2022-12-12 07:46:27.157,iliac ,i,i,semicolemakdh,3,words,10,wordle,null,0.1
161,2022-12-12 07:46:27.702,iliac ,a,a,semicolemakdh,3,words,10,wordle,null,0.545
162,2022-12-12 07:46:27.977,iliac ,c,c,semicolemakdh,3,words,10,wordle,null,0.275
163,2022-12-12 07:46:28.149,iliac , , ,semicolemakdh,3,words,10,wordle,null,0.172
164,2022-12-12 07:46:28.404,aglow ,a,a,semicolemakdh,3,words,10,wordle,null,0.255
165,2022-12-12 07:46:28.687,aglow ,g,g,semicolemakdh,3,words,10,wordle,null,0.283
166,2022-12-12 07:46:28.977,aglow ,l,l,semicolemakdh,3,words,10,wordle,null,0.29
167,2022-12-12 07:46:29.073,aglow ,o,o,semicolemakdh,3,words,10,wordle,null,0.096
168,2022-12-12 07:46:29.275,aglow ,w,w,semicolemakdh,3,words,10,wordle,null,0.202
169,2022-12-12 07:46:29.394,aglow , , ,semicolemakdh,3,words,10,wordle,null,0.119
170,2022-12-12 07:46:29.593,skate ,s,s,semicolemakdh,3,words,10,wordle,null,0.199
171,2022-12-12 07:46:29.938,skate ,k,k,semicolemakdh,3,words,10,wordle,null,0.345
172,2022-12-12 07:46:30.146,skate ,a,a,semicolemakdh,3,words,10,wordle,null,0.208
173,2022-12-12 07:46:30.716,skate ,t,t,semicolemakdh,3,words,10,wordle,null,0.57
174,2022-12-12 07:46:30.794,skate ,e,e,semicolemakdh,3,words,10,wordle,null,0.078
175,2022-12-12 07:46:30.973,skate , , ,semicolemakdh,3,words,10,wordle,null,0.179
176,2022-12-12 07:46:31.379,while,w,w,semicolemakdh,3,words,10,wordle,null,0.406
177,2022-12-12 07:46:31.933,while,h,h,semicolemakdh,3,words,10,wordle,null,0.554
178,2022-12-12 07:46:32.242,while,i,i,semicolemakdh,3,words,10,wordle,null,0.309
179,2022-12-12 07:46:32.578,while,u,l,semicolemakdh,3,words,10,wordle,null,0.336
180,2022-12-12 07:46:33.459,while,l,l,semicolemakdh,3,words,10,wordle,null,0.881
