,activeWord,lastChar,acc
318,slope ,e,0.0
319,slope , ,0.0
320,draft ,d,0.16666666666666674
321,draft ,r,0.16666666666666674
322,draft ,a,0.16666666666666674
323,draft ,t,0.16666666666666674
324,draft ,f,0.16666666666666674
325,draft ,t,0.16666666666666674
326,draft , ,0.16666666666666674
327,junto ,l,0.16666666666666674
328,junto ,u,0.16666666666666674
329,junto ,j,0.16666666666666674
330,junto ,u,0.16666666666666674
331,junto ,t,0.16666666666666674
332,junto ,o,0.16666666666666674
333,junto , ,0.16666666666666674
334,penal ,p,0.0
335,penal ,e,0.0
336,penal ,n,0.0
337,penal ,a,0.0
338,penal ,l,0.0
339,penal , ,0.0
340,pixie ,p,0.0
341,pixie ,i,0.0
342,pixie ,x,0.0
343,pixie ,i,0.0
344,pixie ,e,0.0
345,pixie , ,0.0
346,shalt ,s,0.0
347,shalt ,h,0.0
348,shalt ,a,0.0
349,shalt ,l,0.0
350,shalt ,t,0.0
351,shalt , ,0.0
352,strap ,s,0.0
353,strap ,t,0.0
354,strap ,r,0.0
355,strap ,a,0.0
356,strap ,p,0.0
357,strap , ,0.0
358,crypt ,c,0.16666666666666674
359,crypt ,r,0.16666666666666674
360,crypt ,y,0.16666666666666674
361,crypt ,t,0.16666666666666674
362,crypt ,p,0.16666666666666674
363,crypt ,r,0.16666666666666674
364,crypt , ,0.16666666666666674
365,stake ,s,0.0
366,stake ,t,0.0
367,stake ,a,0.0
368,stake ,k,0.0
369,stake ,e,0.0
370,stake , ,0.0
371,tramp,t,0.19999999999999996
372,tramp,r,0.19999999999999996
373,tramp,a,0.19999999999999996
374,tramp,m,0.19999999999999996
375,tramp,y,0.19999999999999996
376,tramp,p,0.19999999999999996
377,beget ,b,0.0
378,beget ,e,0.0
379,beget ,g,0.0
380,beget ,e,0.0
381,beget ,t,0.0
382,beget , ,0.0
383,chuck ,c,0.0
384,chuck ,h,0.0
385,chuck ,u,0.0
386,chuck ,c,0.0
387,chuck ,k,0.0
388,chuck , ,0.0
389,squat ,s,0.33333333333333326
390,squat ,w,0.33333333333333326
391,squat ,q,0.33333333333333326
392,squat ,q,0.33333333333333326
393,squat ,u,0.33333333333333326
394,squat ,a,0.33333333333333326
395,squat ,t,0.33333333333333326
396,squat , ,0.33333333333333326
397,space ,s,0.0
398,space ,p,0.0
399,space ,a,0.0
400,space ,c,0.0
401,space ,e,0.0
402,space , ,0.0
403,psalm ,p,0.0
404,psalm ,s,0.0
405,psalm ,a,0.0
406,psalm ,l,0.0
407,psalm ,m,0.0
408,psalm , ,0.0
409,arose ,a,0.33333333333333326
410,arose ,r,0.33333333333333326
411,arose ,o,0.33333333333333326
412,arose ,s,0.33333333333333326
413,arose ,f,0.33333333333333326
414,arose ,e,0.33333333333333326
415,arose ,e,0.33333333333333326
416,arose , ,0.33333333333333326
417,loyal ,l,0.16666666666666674
418,loyal ,o,0.16666666666666674
419,loyal ,t,0.16666666666666674
420,loyal ,y,0.16666666666666674
421,loyal ,a,0.16666666666666674
422,loyal ,l,0.16666666666666674
423,loyal , ,0.16666666666666674
424,coral ,c,0.0
425,coral ,o,0.0
426,coral ,r,0.0
427,coral ,a,0.0
428,coral ,l,0.0
429,coral , ,0.0
430,gaffe ,g,0.8333333333333333
431,gaffe ,a,0.8333333333333333
432,gaffe ,r,0.8333333333333333
433,gaffe ,r,0.8333333333333333
434,gaffe ,e,0.8333333333333333
435,gaffe ,f,0.8333333333333333
436,gaffe ,f,0.8333333333333333
437,gaffe ,e,0.8333333333333333
438,gaffe ,f,0.8333333333333333
439,gaffe ,e,0.8333333333333333
440,gaffe , ,0.8333333333333333
441,tweet,t,0.0
442,tweet,w,0.0
443,tweet,e,0.0
444,tweet,e,0.0
445,tweet,t,0.0
446,dense ,d,0.33333333333333326
447,dense ,e,0.33333333333333326
448,dense ,s,0.33333333333333326
449,dense ,n,0.33333333333333326
450,dense ,n,0.33333333333333326
451,dense ,s,0.33333333333333326
452,dense ,e,0.33333333333333326
453,dense , ,0.33333333333333326
454,hitch ,h,0.0
455,hitch ,i,0.0
456,hitch ,t,0.0
457,hitch ,c,0.0
458,hitch ,h,0.0
459,hitch , ,0.0
460,forty ,f,0.0
461,forty ,o,0.0
462,forty ,r,0.0
463,forty ,t,0.0
464,forty ,y,0.0
465,forty , ,0.0
466,maple ,m,0.0
467,maple ,a,0.0
468,maple ,p,0.0
469,maple ,l,0.0
470,maple ,e,0.0
471,maple , ,0.0
472,rocky ,r,0.0
473,rocky ,o,0.0
474,rocky ,c,0.0
475,rocky ,k,0.0
476,rocky ,y,0.0
477,rocky , ,0.0
478,quack ,q,0.0
479,quack ,u,0.0
480,quack ,a,0.0
481,quack ,c,0.0
482,quack ,k,0.0
483,quack , ,0.0
484,afoot ,a,0.16666666666666674
485,afoot ,r,0.16666666666666674
486,afoot ,f,0.16666666666666674
487,afoot ,o,0.16666666666666674
488,afoot ,o,0.16666666666666674
489,afoot ,t,0.16666666666666674
490,afoot , ,0.16666666666666674
491,rocky ,p,0.33333333333333326
492,rocky ,o,0.33333333333333326
493,rocky ,r,0.33333333333333326
494,rocky ,o,0.33333333333333326
495,rocky ,c,0.33333333333333326
496,rocky ,k,0.33333333333333326
497,rocky ,y,0.33333333333333326
498,rocky , ,0.33333333333333326
499,psalm ,p,0.0
500,psalm ,s,0.0
501,psalm ,a,0.0
502,psalm ,l,0.0
503,psalm ,m,0.0
504,psalm , ,0.0
505,stunt,s,0.0
506,stunt,t,0.0
507,stunt,u,0.0
508,stunt,n,0.0
509,stunt,t,0.0
510,shuck ,s,0.0
511,shuck ,h,0.0
512,shuck ,u,0.0
513,shuck ,c,0.0
514,shuck ,k,0.0
515,shuck , ,0.0
516,aware ,a,0.5
517,aware ,w,0.5
518,aware ,a,0.5
519,aware ,s,0.5
520,aware ,r,0.5
521,aware ,r,0.5
522,aware ,t,0.5
523,aware ,e,0.5
524,aware , ,0.5
525,racer ,r,0.8333333333333333
526,racer ,e,0.8333333333333333
527,racer ,a,0.8333333333333333
528,racer ,c,0.8333333333333333
529,racer ,a,0.8333333333333333
530,racer ,c,0.8333333333333333
531,racer ,a,0.8333333333333333
532,racer ,c,0.8333333333333333
533,racer ,e,0.8333333333333333
534,racer ,r,0.8333333333333333
535,racer , ,0.8333333333333333
536,squat ,s,0.16666666666666674
537,squat ,q,0.16666666666666674
538,squat ,u,0.16666666666666674
539,squat ,a,0.16666666666666674
540,squat ,r,0.16666666666666674
541,squat ,t,0.16666666666666674
542,squat , ,0.16666666666666674
543,swish ,s,0.16666666666666674
544,swish ,w,0.16666666666666674
545,swish ,o,0.16666666666666674
546,swish ,i,0.16666666666666674
547,swish ,s,0.16666666666666674
548,swish ,h,0.16666666666666674
549,swish , ,0.16666666666666674
550,along ,a,0.0
551,along ,l,0.0
552,along ,o,0.0
553,along ,n,0.0
554,along ,g,0.0
555,along , ,0.0
556,serum ,s,0.0
557,serum ,e,0.0
558,serum ,r,0.0
559,serum ,u,0.0
560,serum ,m,0.0
561,serum , ,0.0
562,breed ,b,0.6666666666666667
563,breed ,e,0.6666666666666667
564,breed ,r,0.6666666666666667
565,breed ,r,0.6666666666666667
566,breed ,d,0.6666666666666667
567,breed ,r,0.6666666666666667
568,breed ,e,0.6666666666666667
569,breed ,e,0.6666666666666667
570,breed ,d,0.6666666666666667
571,breed , ,0.6666666666666667
572,stint ,s,0.0
573,stint ,t,0.0
574,stint ,i,0.0
575,stint ,n,0.0
576,stint ,t,0.0
577,stint , ,0.0
578,agile,a,0.0
579,agile,g,0.0
580,agile,i,0.0
581,agile,l,0.0
582,agile,e,0.0
583,tempo ,t,0.33333333333333326
584,tempo ,a,0.33333333333333326
585,tempo ,m,0.33333333333333326
586,tempo ,e,0.33333333333333326
587,tempo ,m,0.33333333333333326
588,tempo ,p,0.33333333333333326
589,tempo ,o,0.33333333333333326
590,tempo , ,0.33333333333333326
591,bloat ,b,0.0
592,bloat ,l,0.0
593,bloat ,o,0.0
594,bloat ,a,0.0
595,bloat ,t,0.0
596,bloat , ,0.0
597,overt ,o,0.0
598,overt ,v,0.0
599,overt ,e,0.0
600,overt ,r,0.0
601,overt ,t,0.0
602,overt , ,0.0
603,dryly ,r,0.33333333333333326
604,dryly ,d,0.33333333333333326
605,dryly ,d,0.33333333333333326
606,dryly ,r,0.33333333333333326
607,dryly ,y,0.33333333333333326
608,dryly ,l,0.33333333333333326
609,dryly ,y,0.33333333333333326
610,dryly , ,0.33333333333333326
611,young ,y,-0.33333333333333337
612,young ,o,-0.33333333333333337
613,young ,u,-0.33333333333333337
614,young , ,-0.33333333333333337
615,datum ,g,0.33333333333333326
616,datum ,d,0.33333333333333326
617,datum ,a,0.33333333333333326
618,datum ,r,0.33333333333333326
619,datum ,t,0.33333333333333326
620,datum ,u,0.33333333333333326
621,datum ,m,0.33333333333333326
622,datum , ,0.33333333333333326
623,ester ,e,0.0
624,ester ,s,0.0
625,ester ,t,0.0
626,ester ,e,0.0
627,ester ,r,0.0
628,ester , ,0.0
629,waist ,w,0.0
630,waist ,a,0.0
631,waist ,i,0.0
632,waist ,s,0.0
633,waist ,t,0.0
634,waist , ,0.0
635,baggy ,b,0.0
636,baggy ,a,0.0
637,baggy ,g,0.0
638,baggy ,g,0.0
639,baggy ,y,0.0
640,baggy , ,0.0
641,offer,o,0.0
642,offer,f,0.0
643,offer,f,0.0
644,offer,e,0.0
645,offer,r,0.0
646,fetch ,f,0.0
647,fetch ,e,0.0
648,fetch ,t,0.0
649,fetch ,c,0.0
650,fetch ,h,0.0
651,fetch , ,0.0
652,align ,a,0.0
653,align ,l,0.0
654,align ,i,0.0
655,align ,g,0.0
656,align ,n,0.0
657,align , ,0.0
658,slang ,s,0.0
659,slang ,l,0.0
660,slang ,a,0.0
661,slang ,n,0.0
662,slang ,t,0.0
663,slang , ,0.0
664,iliac ,i,0.33333333333333326
665,iliac ,l,0.33333333333333326
666,iliac ,i,0.33333333333333326
667,iliac ,l,0.33333333333333326
668,iliac ,a,0.33333333333333326
669,iliac ,a,0.33333333333333326
670,iliac ,c,0.33333333333333326
671,iliac , ,0.33333333333333326
672,lodge ,o,0.16666666666666674
673,lodge ,l,0.16666666666666674
674,lodge ,o,0.16666666666666674
675,lodge ,d,0.16666666666666674
676,lodge ,g,0.16666666666666674
677,lodge ,e,0.16666666666666674
678,lodge , ,0.16666666666666674
679,stole ,s,0.0
680,stole ,t,0.0
681,stole ,o,0.0
682,stole ,l,0.0
683,stole ,e,0.0
684,stole , ,0.0
685,baggy ,b,0.0
686,baggy ,a,0.0
687,baggy ,g,0.0
688,baggy ,g,0.0
689,baggy ,y,0.0
690,baggy , ,0.0
691,tarot ,b,0.6666666666666667
692,tarot ,o,0.6666666666666667
693,tarot ,t,0.6666666666666667
694,tarot ,o,0.6666666666666667
695,tarot ,r,0.6666666666666667
696,tarot ,a,0.6666666666666667
697,tarot ,r,0.6666666666666667
698,tarot ,o,0.6666666666666667
699,tarot ,t,0.6666666666666667
700,tarot , ,0.6666666666666667
701,psalm ,p,0.0
702,psalm ,s,0.0
703,psalm ,a,0.0
704,psalm ,l,0.0
705,psalm ,m,0.0
706,psalm , ,0.0
707,dense,d,0.0
708,dense,e,0.0
709,dense,n,0.0
710,dense,s,0.0
711,dense,e,0.0
712,seven ,s,0.0
713,seven ,e,0.0
714,seven ,v,0.0
715,seven ,e,0.0
716,seven ,n,0.0
717,seven , ,0.0
718,shelf ,s,0.0
719,shelf ,h,0.0
720,shelf ,e,0.0
721,shelf ,l,0.0
722,shelf ,f,0.0
723,shelf , ,0.0
724,credo ,c,0.33333333333333326
725,credo ,r,0.33333333333333326
726,credo ,e,0.33333333333333326
727,credo ,t,0.33333333333333326
728,credo ,o,0.33333333333333326
729,credo ,d,0.33333333333333326
730,credo ,o,0.33333333333333326
731,credo , ,0.33333333333333326
732,dryer ,d,0.6666666666666667
733,dryer ,r,0.6666666666666667
734,dryer ,l,0.6666666666666667
735,dryer ,r,0.6666666666666667
736,dryer ,',0.6666666666666667
737,dryer ,y,0.6666666666666667
738,dryer ,r,0.6666666666666667
739,dryer ,e,0.6666666666666667
740,dryer ,r,0.6666666666666667
741,dryer , ,0.6666666666666667
742,medal ,m,0.33333333333333326
743,medal ,r,0.33333333333333326
744,medal ,d,0.33333333333333326
745,medal ,e,0.33333333333333326
746,medal ,d,0.33333333333333326
747,medal ,a,0.33333333333333326
748,medal ,l,0.33333333333333326
749,medal , ,0.33333333333333326
750,hitch ,h,0.0
751,hitch ,i,0.0
752,hitch ,t,0.0
753,hitch ,c,0.0
754,hitch ,h,0.0
755,hitch , ,0.0
756,draft ,d,0.16666666666666674
757,draft ,r,0.16666666666666674
758,draft ,a,0.16666666666666674
759,draft ,t,0.16666666666666674
760,draft ,f,0.16666666666666674
761,draft ,t,0.16666666666666674
762,draft , ,0.16666666666666674
763,realm ,r,0.16666666666666674
764,realm ,e,0.16666666666666674
765,realm ,a,0.16666666666666674
766,realm ,t,0.16666666666666674
767,realm ,l,0.16666666666666674
768,realm ,m,0.16666666666666674
769,realm , ,0.16666666666666674
770,drank ,d,0.0
771,drank ,r,0.0
772,drank ,a,0.0
773,drank ,n,0.0
774,drank ,k,0.0
775,drank , ,0.0
776,afoul,a,0.0
777,afoul,f,0.0
778,afoul,o,0.0
779,afoul,u,0.0
780,afoul,l,0.0
781,young ,y,0.16666666666666674
782,young ,o,0.16666666666666674
783,young ,u,0.16666666666666674
784,young ,g,0.16666666666666674
785,young ,n,0.16666666666666674
786,young ,g,0.16666666666666674
787,young , ,0.16666666666666674
788,racer ,r,0.0
789,racer ,a,0.0
790,racer ,c,0.0
791,racer ,e,0.0
792,racer ,r,0.0
793,racer , ,0.0
794,grope ,g,0.0
795,grope ,r,0.0
796,grope ,o,0.0
797,grope ,p,0.0
798,grope ,e,0.0
799,grope , ,0.0
800,frond ,f,0.0
801,frond ,r,0.0
802,frond ,o,0.0
803,frond ,n,0.0
804,frond ,d,0.0
805,frond , ,0.0
806,cedar ,c,0.33333333333333326
807,cedar ,e,0.33333333333333326
808,cedar ,r,0.33333333333333326
809,cedar ,a,0.33333333333333326
810,cedar ,d,0.33333333333333326
811,cedar ,a,0.33333333333333326
812,cedar ,r,0.33333333333333326
813,cedar , ,0.33333333333333326
814,young ,y,0.16666666666666674
815,young ,o,0.16666666666666674
816,young ,u,0.16666666666666674
817,young ,g,0.16666666666666674
818,young ,n,0.16666666666666674
819,young ,g,0.16666666666666674
820,young , ,0.16666666666666674
821,lodge ,l,0.16666666666666674
822,lodge ,o,0.16666666666666674
823,lodge ,d,0.16666666666666674
824,lodge ,r,0.16666666666666674
825,lodge ,g,0.16666666666666674
826,lodge ,e,0.16666666666666674
827,lodge , ,0.16666666666666674
828,stock ,s,0.16666666666666674
829,stock ,t,0.16666666666666674
830,stock ,o,0.16666666666666674
831,stock ,c,0.16666666666666674
832,stock ,h,0.16666666666666674
833,stock ,k,0.16666666666666674
834,stock , ,0.16666666666666674
835,cause ,c,0.16666666666666674
836,cause ,a,0.16666666666666674
837,cause ,s,0.16666666666666674
838,cause ,u,0.16666666666666674
839,cause ,s,0.16666666666666674
840,cause ,e,0.16666666666666674
841,cause , ,0.16666666666666674
842,agile,a,0.0
843,agile,g,0.0
844,agile,i,0.0
845,agile,l,0.0
846,agile,e,0.0
847,cause ,c,0.0
848,cause ,a,0.0
849,cause ,u,0.0
850,cause ,s,0.0
851,cause ,e,0.0
852,cause , ,0.0
853,joust ,j,0.0
854,joust ,o,0.0
855,joust ,u,0.0
856,joust ,s,0.0
857,joust ,t,0.0
858,joust , ,0.0
859,shape ,s,0.0
860,shape ,h,0.0
861,shape ,a,0.0
862,shape ,p,0.0
863,shape ,e,0.0
864,shape , ,0.0
865,arose ,a,0.0
866,arose ,r,0.0
867,arose ,o,0.0
868,arose ,s,0.0
869,arose ,e,0.0
870,arose , ,0.0
871,tramp ,t,0.16666666666666674
872,tramp ,f,0.16666666666666674
873,tramp ,r,0.16666666666666674
874,tramp ,a,0.16666666666666674
875,tramp ,m,0.16666666666666674
876,tramp ,p,0.16666666666666674
877,tramp , ,0.16666666666666674
878,offer ,o,0.33333333333333326
879,offer ,f,0.33333333333333326
880,offer ,f,0.33333333333333326
881,offer ,r,0.33333333333333326
882,offer ,e,0.33333333333333326
