timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:46:07.355Z,public,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:07.522Z,public,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:07.941Z,could, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:08.535Z,could,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:08.829Z,could,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:11.819Z,could,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:12.228Z,could,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:13.136Z,could,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:21.268Z,lead,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:21.450Z,lead,a,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:23.674Z,lead,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:24.486Z,lead,e,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:24.531Z,lead,r,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:24.668Z,lead,a,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:26.628Z,lead,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:26.836Z,lead,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:27.795Z,lead,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:28.867Z,over,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:28.996Z,over, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:29.595Z,over,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:29.890Z,over,d,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:31.140Z,over,v,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:32.275Z,over,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:32.572Z,over,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:32.699Z,day, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:33.818Z,day,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:33.956Z,day,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:34.509Z,day,y,y,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:34.699Z,order, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:36.636Z,order,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:37.650Z,order,e,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:38.910Z,order,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:39.355Z,order,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:40.092Z,order,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:40.765Z,order,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:41.404Z,order,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:41.538Z,write, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:41.954Z,write,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:42.486Z,write,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:43.754Z,write,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:45.122Z,write,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:45.396Z,write,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:45.595Z,down, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:46.627Z,down,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:47.036Z,down,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:47.874Z,down,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:48.115Z,down,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:48.347Z,or, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:49.330Z,or,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:50.059Z,develop,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:50.190Z,develop, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:51.828Z,develop,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:52.123Z,develop,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:52.557Z,develop,v,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:53.374Z,develop,f,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:53.444Z,develop,e,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:54.387Z,develop,f,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:56.298Z,develop,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:57.187Z,develop,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:57.987Z,develop,v,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:50:58.218Z,develop,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:00.004Z,develop,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:00.765Z,develop,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:01.291Z,develop,f,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:02.277Z,develop,w,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:02.524Z,tell, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:04.171Z,tell,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:04.540Z,tell,e,e,monkeytype,semicolemak,words,10,english,null
